Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source
South Sudan,Central Equatoria,Gudele (107) Primary Health Care Unit,Primary Health Care Unit,MoH,4.8662,31.5619,GPS
South Sudan,Central Equatoria,Gudele Bk 4 Primary Health Care Unit,Primary Health Care Unit,MoH,4.8641,31.5541,GPS
South Sudan,Central Equatoria,Gudele Primary Health Care Unit,Primary Health Care Unit,MoH,4.8742,31.5505,GPS
South Sudan,Central Equatoria,Gugudu Primary Health Care Unit,Primary Health Care Unit,MoH,5.1114,31.375,Geonames
South Sudan,Central Equatoria,Gulukuk Primary Health Care Unit,Primary Health Care Unit,MoH,5.4351,31.537,Geonames
South Sudan,Central Equatoria,Gumbiri Primary Health Care Unit,Primary Health Care Unit,MoH,4.159,30.8615,Geonames
South Sudan,Central Equatoria,Gumbo Primary Health Care Unit,Primary Health Care Unit,MoH,4.8149,31.6227,GPS
South Sudan,Central Equatoria,Gurei Primary Health Care Unit,Primary Health Care Unit,MoH,4.8729,31.5121,Google Earth
South Sudan,Central Equatoria,Gurujo Primary Health Care Unit,Primary Health Care Unit,MoH,4.0627,31.1348,GPS
South Sudan,Central Equatoria,Gurulotogu Primary Health Care Unit,Primary Health Care Unit,MoH,5.1984,31.1993,GPS
South Sudan,Central Equatoria,Gwadiang West Primary Health Care Unit,Primary Health Care Unit,MoH,4.8119,31.5668,GPS
South Sudan,Central Equatoria,Hai Jebel Primary Health Care Unit,Primary Health Care Unit,MoH,3.5426,30.8749,Geonames
South Sudan,Central Equatoria,Iliangari Primary Health Care Unit,Primary Health Care Unit,MoH,4.6755,32.0362,Google Earth
South Sudan,Central Equatoria,Ilyangiri Primary Health Care Unit,Primary Health Care Unit,MoH,4.6769,32.0356,GPS
South Sudan,Central Equatoria,Jabor Primary Health Care Unit,Primary Health Care Unit,MoH,5.1522,31.8099,GPS
South Sudan,Central Equatoria,Jai Primary Health Care Unit,Primary Health Care Unit,MoH,5.5382,31.8286,GPS
South Sudan,Central Equatoria,Jalite Gikokue Primary Health Care Unit,Primary Health Care Unit,MoH,4.6894,31.8575,GPS
South Sudan,Central Equatoria,Jamara Primary Health Care Centre,Primary Health Care Centre,MoH,4.0473,30.9824,GPS
South Sudan,Central Equatoria,Jandoru Primary Health Care Unit,Primary Health Care Unit,MoH,4.6862,31.5804,GPS
South Sudan,Central Equatoria,Jebel Lokiyoro Primary Health Care Unit,Primary Health Care Unit,MoH,4.9716,31.5649,GPS
South Sudan,Central Equatoria,Jobem Primary Health Care Unit,Primary Health Care Unit,MoH,5.3835,31.6478,GPS
South Sudan,Central Equatoria,Jokaki Primary Health Care Unit,Primary Health Care Unit,MoH,4.9925,31.8677,GPS
South Sudan,Central Equatoria,Jokari Primary Health Care Unit,Primary Health Care Unit,MoH,5.3176,31.0463,GPS
South Sudan,Central Equatoria,Jombu Primary Health Care Unit,Primary Health Care Unit,MoH,3.8114,30.7805,GPS
South Sudan,Central Equatoria,Jondale Primary Health Care Unit,Primary Health Care Unit,MoH,3.8036,31.4297,GPS
South Sudan,Central Equatoria,Jonkok Payaya Primary Health Care Unit,Primary Health Care Unit,MoH,5.4253,31.1615,GPS
South Sudan,Central Equatoria,Jonkok Primary Health Care Unit,Primary Health Care Unit,MoH,5.2916,31.0249,GPS
South Sudan,Central Equatoria,Juba Gureyi Primary Health Care Unit,Primary Health Care Unit,MoH,4.8667,31.5185,GPS
South Sudan,Central Equatoria,Juba State Hospital,State Hospital,MoH,4.8495,31.5915,Geonames
South Sudan,Central Equatoria,Juba Teaching Hospital,Teaching Hospital,MoH,4.8509,31.6082,GPS
South Sudan,Central Equatoria,Kabo Primary Health Care Unit,Primary Health Care Unit,MoH,4.9827,31.5276,GPS
South Sudan,Central Equatoria,Kagelu Primary Health Care Unit,Primary Health Care Unit,MoH,4.0518,30.6121,GPS
South Sudan,Central Equatoria,Kagwada Primary Health Care Unit,Primary Health Care Unit,MoH,4.4542,31.2098,GPS
South Sudan,Central Equatoria,Kajiko Primary Health Care Unit,Primary Health Care Unit,MoH,3.8512,30.599,GPS
South Sudan,Central Equatoria,Kajokeji County Hospital,County Hospital,MoH,3.8523,31.6568,GPS
South Sudan,Central Equatoria,Kala Primary Health Care Unit,Primary Health Care Unit,MoH,3.9733,31.294,Geonames
South Sudan,Central Equatoria,Kamsuk Primary Health Care Centre,Primary Health Care Centre,MoH,4.0109,31.5351,Geonames
South Sudan,Central Equatoria,Kangai Primary Health Care Unit,Primary Health Care Unit,MoH,3.6874,30.6429,Geonames
South Sudan,Central Equatoria,Karpeto Primary Health Care Unit,Primary Health Care Unit,MoH,4.1229,31.7023,Geonames
South Sudan,Central Equatoria,Kasurak Primary Health Care Unit,Primary Health Care Unit,MoH,3.8627,31.5388,GPS
South Sudan,Central Equatoria,Katigiri Primary Health Care Centre,Primary Health Care Centre,MoH,4.8935,30.8317,GPS
South Sudan,Central Equatoria,Kator Primary Health Care Centre,Primary Health Care Centre,MoH,4.831,31.5965,Geonames
South Sudan,Central Equatoria,Kator Sacret Heart Primary Health Care Unit,Primary Health Care Unit,MoH,4.8251,31.5923,GPS
South Sudan,Central Equatoria,Kawari Primary Health Care Unit,Primary Health Care Unit,MoH,5.3939,31.1092,GPS
South Sudan,Central Equatoria,Kaya Primary Health Care Unit,Primary Health Care Unit,MoH,3.55,30.88,Geonames
South Sudan,Central Equatoria,Kejiko Primary Health Care Unit,Primary Health Care Unit,MoH,3.8414,30.6044,Geonames
South Sudan,Central Equatoria,Kelang Primary Health Care Unit,Primary Health Care Unit,MoH,4.3741,31.9583,GPS
South Sudan,Central Equatoria,Kendila Primary Health Care Unit,Primary Health Care Unit,MoH,3.7564,30.8918,GPS
South Sudan,Central Equatoria,Kenyi Primary Health Care Unit,Primary Health Care Unit,MoH,4.2065,30.913,GPS
South Sudan,Central Equatoria,Kera Primary Health Care Centre,Primary Health Care Centre,MoH,4.893,30.8339,Geonames
South Sudan,Central Equatoria,Kergulu Primary Health Care Unit,Primary Health Care Unit,MoH,4.0519,30.6126,Geonames
South Sudan,Central Equatoria,Kerit- Nyumba Primary Health Care Unit,Primary Health Care Unit,MoH,5.8548,30.8452,Geonames
South Sudan,Central Equatoria,Kerwa _2 Primary Health Care Unit,Primary Health Care Unit,MoH,3.8515,31.6559,GPS
South Sudan,Central Equatoria,Kerwa 1 Primary Health Care Unit,Primary Health Care Unit,MoH,3.7262,31.5823,GPS
South Sudan,Central Equatoria,Kigwo Primary Health Care Unit,Primary Health Care Unit,MoH,3.8698,31.7391,GPS
South Sudan,Central Equatoria,Kiju Primary Health Care Unit,Primary Health Care Unit,MoH,4.0154,31.1982,GPS
South Sudan,Central Equatoria,Kimba Primary Health Care Unit,Primary Health Care Unit,MoH,3.5797,30.8525,GPS
South Sudan,Central Equatoria,Kimu Primary Health Care Unit,Primary Health Care Unit,MoH,4.865,31.5629,GPS
South Sudan,Central Equatoria,Kinyiba Primary Health Care Unit,Primary Health Care Unit,MoH,3.7342,31.6348,GPS
South Sudan,Central Equatoria,Kiri Primary Health Care Unit,Primary Health Care Unit,MoH,3.7703,31.635,GPS
South Sudan,Central Equatoria,Kirikwa Primary Health Care Unit,Primary Health Care Unit,MoH,4.1431,30.425,GPS
South Sudan,Central Equatoria,Kirikwat Primary Health Care Unit,Primary Health Care Unit,MoH,4.1447,30.9092,GPS
South Sudan,Central Equatoria,Kit One Primary Health Care Unit,Primary Health Care Unit,MoH,4.2135,31.9951,Geonames
South Sudan,Central Equatoria,Kiu Primary Health Care Unit,Primary Health Care Unit,MoH,6.2048,30.6006,GPS
South Sudan,Central Equatoria,Kk Ajio Primary Health Care Unit,Primary Health Care Unit,MoH,3.8387,31.1951,GPS
South Sudan,Central Equatoria,Kk Gurujo Primary Health Care Unit,Primary Health Care Unit,MoH,3.7262,31.5826,GPS
South Sudan,Central Equatoria,Kk Jalimo Primary Health Care Centre,Primary Health Care Centre,MoH,3.7594,31.5988,GPS
South Sudan,Central Equatoria,Kk Jondale Primary Health Care Unit,Primary Health Care Unit,MoH,3.929,31.5351,GPS
South Sudan,Central Equatoria,Kk Kala Primary Health Care Unit,Primary Health Care Unit,MoH,3.9824,31.2589,GPS
South Sudan,Central Equatoria,Kk Lipe Primary Health Care Centre,Primary Health Care Centre,MoH,3.8967,31.6202,Geonames
South Sudan,Central Equatoria,Kk Longira Primary Health Care Unit,Primary Health Care Unit,MoH,3.8779,31.6011,GPS
South Sudan,Central Equatoria,Kk Mere Primary Health Care Unit,Primary Health Care Unit,MoH,3.8895,31.6725,GPS
South Sudan,Central Equatoria,Kk Mogiri Primary Health Care Unit,Primary Health Care Unit,MoH,3.9506,31.5953,GPS
South Sudan,Central Equatoria,Kk Romogi Primary Health Care Unit,Primary Health Care Unit,MoH,3.9084,31.6499,GPS
South Sudan,Central Equatoria,Kkkangai Primary Health Care Centre,Primary Health Care Centre,MoH,3.769,31.6568,GPS
South Sudan,Central Equatoria,Komoi Primary Health Care Unit,Primary Health Care Unit,MoH,4.1447,30.6898,GPS
South Sudan,Central Equatoria,Korobe Primary Health Care Unit,Primary Health Care Unit,MoH,4.0367,30.945,GPS
South Sudan,Central Equatoria,Korosomba Primary Health Care Unit,Primary Health Care Unit,MoH,5.5419,31.8287,Geonames
South Sudan,Central Equatoria,Koyoki Primary Health Care Unit,Primary Health Care Unit,MoH,3.8403,31.0767,GPS
South Sudan,Central Equatoria,Krot Nyumbo Primary Health Care Unit,Primary Health Care Unit,MoH,5.6094,31.033,GPS
South Sudan,Central Equatoria,Kubi Primary Health Care Unit,Primary Health Care Unit,MoH,4.3902,31.9227,GPS
South Sudan,Central Equatoria,Kuda Primary Health Care Centre,Primary Health Care Centre,MoH,4.9574,31.2253,GPS
South Sudan,Central Equatoria,Kudaji Primary Health Care Unit,Primary Health Care Unit,MoH,3.8842,31.6704,GPS
South Sudan,Central Equatoria,Kuli Papa Primary Health Care Unit,Primary Health Care Unit,MoH,4.3749,31.1166,GPS
South Sudan,Central Equatoria,Kundru Primary Health Care Unit,Primary Health Care Unit,MoH,4.3981,30.2159,GPS
South Sudan,Central Equatoria,Kupera Primary Health Care Unit,Primary Health Care Unit,MoH,4.1332,30.9538,GPS
South Sudan,Central Equatoria,Kura Angereb Primary Health Care Unit,Primary Health Care Unit,MoH,4.6965,31.7238,GPS
South Sudan,Central Equatoria,Kuse Primary Health Care Unit,Primary Health Care Unit,MoH,5.1334,31.3756,GPS
South Sudan,Central Equatoria,Kutali Primary Health Care Unit,Primary Health Care Unit,MoH,4.1092,30.9067,Geonames
South Sudan,Central Equatoria,Kutuk Nawoko Primary Health Care Unit,Primary Health Care Unit,MoH,5.5123,31.5803,Geonames
South Sudan,Central Equatoria,Kwerejik Bungu Primary Health Care Unit,Primary Health Care Unit,MoH,4.6544,31.3877,GPS
South Sudan,Central Equatoria,Kwerejik Luri Primary Health Care Unit,Primary Health Care Unit,MoH,4.9343,31.5874,GPS
South Sudan,Central Equatoria,Kwerejik Lurit Primary Health Care Unit,Primary Health Care Unit,MoH,4.991,31.5584,GPS
South Sudan,Central Equatoria,Kwori Primary Health Care Unit,Primary Health Care Unit,MoH,5.3438,31.1137,Geonames
South Sudan,Central Equatoria,Kwornyang Primary Health Care Unit,Primary Health Care Unit,MoH,5.5432,31.543,GPS
South Sudan,Central Equatoria,Kworojik Bungu Primary Health Care Unit,Primary Health Care Unit,MoH,4.6498,31.3881,GPS
South Sudan,Central Equatoria,Lainya 1 Primary Health Care Centre,Primary Health Care Centre,MoH,4.3405,31.0752,Geonames
South Sudan,Central Equatoria,Langabu Primary Health Care Unit,Primary Health Care Unit,MoH,4.5638,32.0538,GPS
South Sudan,Central Equatoria,Langi Primary Health Care Unit,Primary Health Care Unit,MoH,4.3634,31.3272,GPS
South Sudan,Central Equatoria,Lasu Primary Health Care Centre,Primary Health Care Centre,MoH,3.9498,30.4671,GPS
South Sudan,Central Equatoria,Latta Primary Health Care Unit,Primary Health Care Unit,MoH,3.879,30.5586,GPS
South Sudan,Central Equatoria,Leikor Primary Health Care Unit,Primary Health Care Unit,MoH,3.8078,31.6659,GPS
South Sudan,Central Equatoria,Libogo Primary Health Care Unit,Primary Health Care Unit,MoH,3.8222,30.5952,GPS
South Sudan,Central Equatoria,Liggi Primary Health Care Unit,Primary Health Care Unit,MoH,3.8365,30.7707,Geonames
South Sudan,Central Equatoria,Ligi Primary Health Care Unit,Primary Health Care Unit,MoH,5.0922,31.3016,GPS
South Sudan,Central Equatoria,Limbe Primary Health Care Centre,Primary Health Care Centre,MoH,4.1611,30.8609,GPS
South Sudan,Central Equatoria,Limi Primary Health Care Unit,Primary Health Care Unit,MoH,3.8028,31.7152,GPS
South Sudan,Central Equatoria,Limi Two Primary Health Care Unit,Primary Health Care Unit,MoH,3.8038,31.6985,GPS
South Sudan,Central Equatoria,Limuro Primary Health Care Unit,Primary Health Care Unit,MoH,4.0583,31.058,GPS
South Sudan,Central Equatoria,Lirya Primary Health Care Centre,Primary Health Care Centre,MoH,4.3856,32.0464,Geonames
South Sudan,Central Equatoria,Liteba Primary Health Care Unit,Primary Health Care Unit,MoH,3.7268,31.6831,GPS
South Sudan,Central Equatoria,Liwolo Missionaries County Hospital,County Hospital,MoH,3.7951,31.4299,GPS
South Sudan,Central Equatoria,Lobonok Primary Health Care Unit,Primary Health Care Unit,MoH,4.2951,31.6208,Geonames
South Sudan,Central Equatoria,Logili Primary Health Care Unit,Primary Health Care Unit,MoH,3.8436,31.6375,GPS
South Sudan,Central Equatoria,Logo (Tibari) Primary Health Care Unit,Primary Health Care Unit,MoH,5.0177,31.7235,GPS
South Sudan,Central Equatoria,Logobero Primary Health Care Unit,Primary Health Care Unit,MoH,4.1245,30.6696,GPS
South Sudan,Central Equatoria,Logobero Primary Health Care Unit,Primary Health Care Unit,MoH,4.2022,30.693,GPS
South Sudan,Central Equatoria,Logu Primary Health Care Unit,Primary Health Care Unit,MoH,3.8356,31.6189,GPS
South Sudan,Central Equatoria,Logwerle Primary Health Care Unit,Primary Health Care Unit,MoH,4.2364,30.973,Geonames
South Sudan,Central Equatoria,Logwili Primary Health Care Unit,Primary Health Care Unit,MoH,4.3701,31.1212,GPS
South Sudan,Central Equatoria,Lojora Primary Health Care Unit,Primary Health Care Unit,MoH,5.2782,31.7263,GPS
South Sudan,Central Equatoria,Lojora Primary Health Care Unit,Primary Health Care Unit,MoH,5.3822,31.6801,GPS
South Sudan,Central Equatoria,Loka Round Primary Health Care Unit,Primary Health Care Unit,MoH,4.2732,31.0196,GPS
South Sudan,Central Equatoria,Loka West Primary Health Care Unit,Primary Health Care Unit,MoH,4.2546,31.0001,GPS
South Sudan,Central Equatoria,Loki Primary Health Care Unit,Primary Health Care Unit,MoH,5.609,31.7177,Geonames
South Sudan,Central Equatoria,Lokweni Primary Health Care Unit,Primary Health Care Unit,MoH,5.5554,31.7104,GPS
South Sudan,Central Equatoria,Lologo Primary Health Care Centre,Primary Health Care Centre,MoH,4.8128,31.5953,GPS
South Sudan,Central Equatoria,Lomega Primary Health Care Unit,Primary Health Care Unit,MoH,4.7267,31.6554,GPS
South Sudan,Central Equatoria,Lomilikin Primary Health Care Unit,Primary Health Care Unit,MoH,4.2641,30.9422,GPS
South Sudan,Central Equatoria,Lomin Primary Health Care Unit,Primary Health Care Unit,MoH,3.8249,31.6595,GPS
South Sudan,Central Equatoria,Lonai Primary Health Care Unit,Primary Health Care Unit,MoH,5.4785,31.4342,GPS
South Sudan,Central Equatoria,Longira Primary Health Care Unit,Primary Health Care Unit,MoH,3.858,31.5925,Geonames
South Sudan,Central Equatoria,Lopepe Primary Health Care Unit,Primary Health Care Unit,MoH,4.9433,31.5709,GPS
South Sudan,Central Equatoria,Lora Kala Primary Health Care Unit,Primary Health Care Unit,MoH,3.9377,31.5055,GPS
South Sudan,Central Equatoria,Lora Primary Health Care Centre,Primary Health Care Centre,MoH,4.2064,30.913,GPS
South Sudan,Central Equatoria,Lora Primary Health Care Unit,Primary Health Care Unit,MoH,3.8812,31.3316,GPS
South Sudan,Central Equatoria,Lori Primary Health Care Unit,Primary Health Care Unit,MoH,4.0061,31.5067,GPS
South Sudan,Central Equatoria,Loro Primary Health Care Unit,Primary Health Care Unit,MoH,3.8699,31.1667,GPS
South Sudan,Central Equatoria,Lorumba Primary Health Care Unit,Primary Health Care Unit,MoH,4.3422,30.2463,Geonames
South Sudan,Central Equatoria,Lotemba Primary Health Care Unit,Primary Health Care Unit,MoH,4.7388,30.9354,GPS
South Sudan,Central Equatoria,Lowirja Primary Health Care Unit,Primary Health Care Unit,MoH,5.5515,31.5278,GPS
South Sudan,Central Equatoria,Luala Primary Health Care Unit,Primary Health Care Unit,MoH,5.026,31.651,Geonames
South Sudan,Central Equatoria,Lujulo Primary Health Care Unit,Primary Health Care Unit,MoH,3.6787,30.6646,GPS
South Sudan,Central Equatoria,Lujulo Primary Health Care Unit,Primary Health Care Unit,MoH,3.8122,30.902,GPS
South Sudan,Central Equatoria,Lumonik Primary Health Care Unit,Primary Health Care Unit,MoH,5.0644,31.5333,GPS
South Sudan,Central Equatoria,Lupayong Primary Health Care Centre,Primary Health Care Centre,MoH,3.9049,31.0609,GPS
South Sudan,Central Equatoria,Luri Jebel Primary Health Care Unit,Primary Health Care Unit,MoH,4.9789,31.5591,GPS
South Sudan,Central Equatoria,Luri Rokwe Primary Health Care Unit,Primary Health Care Unit,MoH,4.8982,31.5956,GPS
South Sudan,Central Equatoria,Luri Somba Primary Health Care Unit,Primary Health Care Unit,MoH,4.8873,31.4032,GPS
South Sudan,Central Equatoria,Luri Somba Primary Health Care Unit,Primary Health Care Unit,MoH,4.8873,31.4032,GPS
South Sudan,Central Equatoria,Madikolok Primary Health Care Unit,Primary Health Care Unit,MoH,4.7795,30.921,GPS
South Sudan,Central Equatoria,Mading Primary Health Care Unit,Primary Health Care Unit,MoH,5.8521,30.7924,GPS
South Sudan,Central Equatoria,Magor kole Primary Health Care Unit,Primary Health Care Unit,MoH,4.9185,31.4201,GPS
South Sudan,Central Equatoria,Magor Kolo Primary Health Care Unit,Primary Health Care Unit,MoH,5.0227,31.1001,GPS
South Sudan,Central Equatoria,Mahad Primary Sch. Primary Health Care Centre,Primary Health Care Centre,MoH,4.8312,31.611,Geonames
South Sudan,Central Equatoria,Makamagor Primary Health Care Unit,Primary Health Care Unit,MoH,5.492,31.6181,GPS
South Sudan,Central Equatoria,Makaro Primary Health Care Unit,Primary Health Care Unit,MoH,5.0798,31.4499,GPS
South Sudan,Central Equatoria,Makido Primary Health Care Unit,Primary Health Care Unit,MoH,5.9628,30.7412,GPS
South Sudan,Central Equatoria,Malakan Primary Health Care Unit,Primary Health Care Unit,MoH,4.5843,31.0261,GPS
South Sudan,Central Equatoria,Malakia Primary Health Care Unit,Primary Health Care Unit,MoH,4.8346,31.6027,GPS
South Sudan,Central Equatoria,Mandikolok Primary Health Care Unit,Primary Health Care Unit,MoH,4.1699,30.8653,GPS
South Sudan,Central Equatoria,Manga Lotore Primary Health Care Centre,Primary Health Care Centre,MoH,3.8021,31.551,GPS
South Sudan,Central Equatoria,Mankaro Primary Health Care Unit,Primary Health Care Unit,MoH,4.6019,30.9609,GPS
South Sudan,Central Equatoria,Mapako Primary Health Care Unit,Primary Health Care Unit,MoH,4.2254,30.5375,GPS
South Sudan,Central Equatoria,Marakak Primary Health Care Unit,Primary Health Care Unit,MoH,5.6104,31.7283,GPS
South Sudan,Central Equatoria,Maremo Primary Health Care Unit,Primary Health Care Unit,MoH,4.9414,31.4344,GPS
South Sudan,Central Equatoria,Mengele Primary Health Care Unit,Primary Health Care Unit,MoH,4.6367,30.9406,GPS
South Sudan,Central Equatoria,Mere Guga Primary Health Care Unit,Primary Health Care Unit,MoH,3.7694,31.4869,GPS
South Sudan,Central Equatoria,Meridi Primary Health Care Unit,Primary Health Care Unit,MoH,5.4901,31.6176,GPS
South Sudan,Central Equatoria,Merkio Primary Health Care Unit,Primary Health Care Unit,MoH,5.0763,30.9983,Geonames
South Sudan,Central Equatoria,Mijiki Primary Health Care Unit,Primary Health Care Unit,MoH,5.724,30.8411,GPS
South Sudan,Central Equatoria,Mina Primary Health Care Unit,Primary Health Care Unit,MoH,5.8033,30.7416,GPS
South Sudan,Central Equatoria,Minyori Primary Health Care Unit,Primary Health Care Unit,MoH,4.1253,30.6201,GPS
South Sudan,Central Equatoria,Mitika Primary Health Care Unit,Primary Health Care Unit,MoH,3.9582,30.5064,GPS
South Sudan,Central Equatoria,Mobil Primary Health Care Unit,Primary Health Care Unit,MoH,4.9592,31.6341,GPS
South Sudan,Central Equatoria,Mogiri _Juba Primary Health Care Unit,Primary Health Care Unit,MoH,4.8871,31.856,Geonames
South Sudan,Central Equatoria,Moijo Primary Health Care Unit,Primary Health Care Unit,MoH,3.8047,31.7935,GPS
South Sudan,Central Equatoria,Moje Primary Health Care Unit,Primary Health Care Unit,MoH,4.4605,31.0268,GPS
South Sudan,Central Equatoria,Mokido Primary Health Care Unit,Primary Health Care Unit,MoH,4.9457,31.5819,Geonames
South Sudan,Central Equatoria,Molusuk Primary Health Care Unit,Primary Health Care Unit,MoH,5.4618,31.7064,Geonames
South Sudan,Central Equatoria,Mondi Primary Health Care Unit,Primary Health Care Unit,MoH,3.8938,31.4844,GPS
South Sudan,Central Equatoria,Mondikolok Primary Health Care Unit,Primary Health Care Unit,MoH,3.9082,31.6275,GPS
